기본정보,,,,,,,,,,,,,,,,성분 비율 (수분 0%),,,,,,,
급여 대상,브랜드,사료 번호,사료 이름,특정 종 대상,단백질원,주원료,Kcal/100g,동물크기,사료종목,제조국,급여연령,급여시기, 유기농여부,키블크기(mm),기타,조단백질,조회분,오메가3,칼슘,조지방,조섬유,오메가6,인
강아지,로얄캐닌,16,맥시 어덜트(MAXI ADULT),전체,"닭, 오리, 칠면조","닭, 오리, 칠면조, 옥수수, 돼지, 밀, 쌀, 가금류, 어류, 사탕무박, 어유, 대두, 효모",375.5,대형,건식(반건식),프랑스,16~max,없음,N,0,,28.73,7.29,0.85,1.33,18.78,1.33,3.56,0.88
강아지,로얄캐닌,17,PRO 맥시 스타터 마더 앤 베이비독(MAXI STARTER MOTHER &BABYDOG),전체,"닭, 칠면조, 오리, 어류","쌀, 닭, 칠면조, 오리, 가금류, 돼지, 밀, 어류, 옥수수, 사탕무박, 대두, 차전자피",435,대형,건식(반건식),프랑스,0~2,"임신말기/수유기, 이유기자견",N,0,"임신, 수유기, 이유기",32.61,7.61,0.8,1.25,23.91,6.85,4.17,1.03
강아지,로얄캐닌,18,PRO 자이언트 퍼피(GIANT PUPPY),전체,가금류,"옥수수, 가금류, 사탕무과육, 계란, 콩, 생선, 갑각류",387.5,초대형,건식(반건식),프랑스,0~8,없음,N,0,,36.96,7.93,0.76,1.09,15.22,1.41,3.26,0.92
강아지,로얄캐닌,19,미니어처 슈나우저 어덜트,슈나우저,"닭, 칠면조, 오리","쌀, 닭, 칠면조, 오리, 옥수수, 밀, 가금류, 닭, 칠면조, 치커리, 어유, 차전자피,  대두, 보리지유",341.8,무관,건식(반건식),프랑스,11~max,없음,N,10,,27.78,8.89,0.62,0.77,13.33,2.22,2.86,0.62
강아지,로얄캐닌,20,미니어처 슈나우저 퍼피,슈나우저,"닭, 칠면조, 오리","닭, 칠면조, 오리, 옥수수, 밀, 쌀, 치커리, 어유, 대두, 차전자피, 효모, 보리지유, 효모",354.2,무관,건식(반건식),프랑스,3~10,없음,N,10,,33.33,8.33,0.69,1.33,15.56,2,3.27,1
강아지,로얄캐닌,21,말티즈 어덜트(Maltese Adult),말티즈,"닭, 칠면조, 오리","옥수수, 쌀, 닭, 칠면조, 오리, 가금류, 돼지, 닭, 칠면조, 밀, 치커리, 대두, 효모, , 녹차 ",382.6,무관,건식(반건식),프랑스,11~max,없음,N,0,,26.66,6.11,0.44,X,20,1.56,2.89,X
강아지,로얄캐닌,22,요크셔테리어 어덜트(Yorkshire Terrier Adult),요크셔테리어,가금류,"옥수수, 쌀, 가금류, 밀, 닭, 칠면조, 사탕무박, 어유, 효모, 대두유, 가수분해효모, 보리지유, 녹차, 포도, 금잔화추출물             ",378,무관,건식(반건식),프랑스,11~max,없음,N,10,,31.11,5.56,0.62,X,20,3.44,3.54,X
강아지,로얄캐닌,23,요크셔테리어 퍼피,요크셔테리어,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 사탕무박, 대두유, 어유, 효모, 가수분해효모, 보리지유, 금잔화             ",387.7,무관,건식(반건식),프랑스,3~10,없음,N,10,,32.22,7.77,0.8,1.33,22.22,1.44,4.13,1
강아지,로얄캐닌,24,시츄 퍼피,시츄,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 닭, 칠면조, 오리, 밀, 사탕무박, 어유, 대두유, 효모추출물, 금잔화추출물             ",382,무관,건식(반건식),프랑스,3~10,없음,N,10,구부러진키블(단두종),31.11,7.56,0.76,0.78,20,1.67,3.89,0.97
강아지,로얄캐닌,25,시츄 어덜트,시츄,"닭, 칠면조, 오리","쌀, 닭, 칠면조, 오리, 가금류, 밀, 사탕무박, 어유, 대두, 보리지유, 금잔화, 녹차, 포도   ",390.5,무관,건식(반건식),프랑스,11~max,없음,N,10,방파제키블,24.44,6.22,0.63,X,20,4.78,3.81,X
